id,code_polluant,code_point_de_prelevement,code_station,nom_station,nom_commune,code_commune,departement_code,departement_nom,code_zone_affichage,date_heure_tu,date_heure_local,valeur_originale,valeur,validite,code_configuration_de_mesure
2023-05-28 15:00:00FR23001_SO2_A,01,FR23001_SO2,FR23001,AMPERE,Donges,44052,44,Loire-Atlantique,3,2023-05-28T15:00:00Z,2023-05-28T17:00:00+02:00,1.25,1.3,True,FR23001_SO2_A
2023-05-28 15:00:00FR23003_SO2_A,01,FR23003_SO2,FR23003,LA MEGRETAIS,Donges,44052,44,Loire-Atlantique,3,2023-05-28T15:00:00Z,2023-05-28T17:00:00+02:00,0.025,0.025,True,FR23003_SO2_A
2023-05-28 15:00:00FR23004_SO2_A,01,FR23004_SO2,FR23004,PASTEUR,Donges,44052,44,Loire-Atlantique,3,2023-05-28T15:00:00Z,2023-05-28T17:00:00+02:00,1.025,1.0,True,FR23004_SO2_A
2023-05-28 15:00:00FR23068_SO2_A,01,FR23068_SO2,FR23068,FROSSAY,Frossay,44061,44,Loire-Atlantique,3,2023-05-28T15:00:00Z,2023-05-28T17:00:00+02:00,1.1,1.1,True,FR23068_SO2_A
2023-05-28 15:00:00FR23069_SO2_A,01,FR23069_SO2,FR23069,SAVENAY,Savenay,44195,44,Loire-Atlantique,3,2023-05-28T15:00:00Z,2023-05-28T17:00:00+02:00,0.375,0.38,True,FR23069_SO2_A
2023-05-28 15:00:00FR23070_SO2_A,01,FR23070_SO2,FR23070,SAINT ETIENNE DE MONTLUC,Saint-Etienne-De-Montluc,44158,44,Loire-Atlantique,3,2023-05-28T15:00:00Z,2023-05-28T17:00:00+02:00,1.15,1.2,True,FR23070_SO2_A
2023-05-28 15:00:00FR23149_SO2_A,01,FR23149_SO2,FR23149,CUTULLIC2,Paimbœuf,44116,44,Loire-Atlantique,3,2023-05-28T15:00:00Z,2023-05-28T17:00:00+02:00,1.95,2.0,True,FR23149_SO2_A
2023-05-28 15:00:00FR23178_SO2_A,01,FR23178_SO2,FR23178,PARSCAU DU PLESSIS,Donges,44052,44,Loire-Atlantique,3,2023-05-28T15:00:00Z,2023-05-28T17:00:00+02:00,0.0,0.0,True,FR23178_SO2_A
2023-05-28 15:00:00FR23181_SO2_1,01,FR23181_SO2,FR23181,PARC PAYSAGER,Saint-Nazaire,44184,44,Loire-Atlantique,2,2023-05-28T15:00:00Z,2023-05-28T17:00:00+02:00,1.625,1.6,True,FR23181_SO2_1
2023-05-28 15:00:00FR23249_SO2_A,01,FR23249_SO2,FR23249,CAMEE,Montoir-De-Bretagne,44103,44,Loire-Atlantique,3,2023-05-28T15:00:00Z,2023-05-28T17:00:00+02:00,0.0,0.0,True,FR23249_SO2_A
2023-05-28 14:00:00FR23001_SO2_A,01,FR23001_SO2,FR23001,AMPERE,Donges,44052,44,Loire-Atlantique,3,2023-05-28T14:00:00Z,2023-05-28T16:00:00+02:00,1.225,1.2,True,FR23001_SO2_A
2023-05-28 14:00:00FR23003_SO2_A,01,FR23003_SO2,FR23003,LA MEGRETAIS,Donges,44052,44,Loire-Atlantique,3,2023-05-28T14:00:00Z,2023-05-28T16:00:00+02:00,0.425,0.43,True,FR23003_SO2_A
2023-05-28 14:00:00FR23004_SO2_A,01,FR23004_SO2,FR23004,PASTEUR,Donges,44052,44,Loire-Atlantique,3,2023-05-28T14:00:00Z,2023-05-28T16:00:00+02:00,0.925,0.93,True,FR23004_SO2_A
2023-05-28 14:00:00FR23068_SO2_A,01,FR23068_SO2,FR23068,FROSSAY,Frossay,44061,44,Loire-Atlantique,3,2023-05-28T14:00:00Z,2023-05-28T16:00:00+02:00,1.75,1.8,True,FR23068_SO2_A
2023-05-28 14:00:00FR23069_SO2_A,01,FR23069_SO2,FR23069,SAVENAY,Savenay,44195,44,Loire-Atlantique,3,2023-05-28T14:00:00Z,2023-05-28T16:00:00+02:00,0.375,0.38,True,FR23069_SO2_A
2023-05-28 14:00:00FR23070_SO2_A,01,FR23070_SO2,FR23070,SAINT ETIENNE DE MONTLUC,Saint-Etienne-De-Montluc,44158,44,Loire-Atlantique,3,2023-05-28T14:00:00Z,2023-05-28T16:00:00+02:00,1.675,1.7,True,FR23070_SO2_A
2023-05-28 14:00:00FR23149_SO2_A,01,FR23149_SO2,FR23149,CUTULLIC2,Paimbœuf,44116,44,Loire-Atlantique,3,2023-05-28T14:00:00Z,2023-05-28T16:00:00+02:00,1.9,1.9,True,FR23149_SO2_A
2023-05-28 14:00:00FR23178_SO2_A,01,FR23178_SO2,FR23178,PARSCAU DU PLESSIS,Donges,44052,44,Loire-Atlantique,3,2023-05-28T14:00:00Z,2023-05-28T16:00:00+02:00,0.0,0.0,True,FR23178_SO2_A
2023-05-28 14:00:00FR23181_SO2_1,01,FR23181_SO2,FR23181,PARC PAYSAGER,Saint-Nazaire,44184,44,Loire-Atlantique,2,2023-05-28T14:00:00Z,2023-05-28T16:00:00+02:00,1.575,1.6,True,FR23181_SO2_1
2023-05-28 14:00:00FR23249_SO2_A,01,FR23249_SO2,FR23249,CAMEE,Montoir-De-Bretagne,44103,44,Loire-Atlantique,3,2023-05-28T14:00:00Z,2023-05-28T16:00:00+02:00,0.0,0.0,True,FR23249_SO2_A
2023-05-28 13:00:00FR23001_SO2_A,01,FR23001_SO2,FR23001,AMPERE,Donges,44052,44,Loire-Atlantique,3,2023-05-28T13:00:00Z,2023-05-28T15:00:00+02:00,1.2,1.2,True,FR23001_SO2_A
2023-05-28 13:00:00FR23003_SO2_A,01,FR23003_SO2,FR23003,LA MEGRETAIS,Donges,44052,44,Loire-Atlantique,3,2023-05-28T13:00:00Z,2023-05-28T15:00:00+02:00,0.55,0.55,True,FR23003_SO2_A
2023-05-28 13:00:00FR23004_SO2_A,01,FR23004_SO2,FR23004,PASTEUR,Donges,44052,44,Loire-Atlantique,3,2023-05-28T13:00:00Z,2023-05-28T15:00:00+02:00,1.0,1.0,True,FR23004_SO2_A
2023-05-28 13:00:00FR23068_SO2_A,01,FR23068_SO2,FR23068,FROSSAY,Frossay,44061,44,Loire-Atlantique,3,2023-05-28T13:00:00Z,2023-05-28T15:00:00+02:00,1.675,1.7,True,FR23068_SO2_A
2023-05-28 13:00:00FR23069_SO2_A,01,FR23069_SO2,FR23069,SAVENAY,Savenay,44195,44,Loire-Atlantique,3,2023-05-28T13:00:00Z,2023-05-28T15:00:00+02:00,0.525,0.53,True,FR23069_SO2_A
2023-05-28 13:00:00FR23070_SO2_A,01,FR23070_SO2,FR23070,SAINT ETIENNE DE MONTLUC,Saint-Etienne-De-Montluc,44158,44,Loire-Atlantique,3,2023-05-28T13:00:00Z,2023-05-28T15:00:00+02:00,1.45,1.5,True,FR23070_SO2_A
2023-05-28 13:00:00FR23149_SO2_A,01,FR23149_SO2,FR23149,CUTULLIC2,Paimbœuf,44116,44,Loire-Atlantique,3,2023-05-28T13:00:00Z,2023-05-28T15:00:00+02:00,1.925,1.9,True,FR23149_SO2_A
2023-05-28 13:00:00FR23178_SO2_A,01,FR23178_SO2,FR23178,PARSCAU DU PLESSIS,Donges,44052,44,Loire-Atlantique,3,2023-05-28T13:00:00Z,2023-05-28T15:00:00+02:00,0.0,0.0,True,FR23178_SO2_A
2023-05-28 13:00:00FR23181_SO2_1,01,FR23181_SO2,FR23181,PARC PAYSAGER,Saint-Nazaire,44184,44,Loire-Atlantique,2,2023-05-28T13:00:00Z,2023-05-28T15:00:00+02:00,1.65,1.7,True,FR23181_SO2_1
2023-05-28 13:00:00FR23249_SO2_A,01,FR23249_SO2,FR23249,CAMEE,Montoir-De-Bretagne,44103,44,Loire-Atlantique,3,2023-05-28T13:00:00Z,2023-05-28T15:00:00+02:00,0.0,0.0,True,FR23249_SO2_A
2023-05-28 12:00:00FR23001_SO2_A,01,FR23001_SO2,FR23001,AMPERE,Donges,44052,44,Loire-Atlantique,3,2023-05-28T12:00:00Z,2023-05-28T14:00:00+02:00,1.15,1.2,True,FR23001_SO2_A
2023-05-28 12:00:00FR23003_SO2_A,01,FR23003_SO2,FR23003,LA MEGRETAIS,Donges,44052,44,Loire-Atlantique,3,2023-05-28T12:00:00Z,2023-05-28T14:00:00+02:00,0.55,0.55,True,FR23003_SO2_A
2023-05-28 12:00:00FR23004_SO2_A,01,FR23004_SO2,FR23004,PASTEUR,Donges,44052,44,Loire-Atlantique,3,2023-05-28T12:00:00Z,2023-05-28T14:00:00+02:00,1.125,1.1,True,FR23004_SO2_A
2023-05-28 12:00:00FR23068_SO2_A,01,FR23068_SO2,FR23068,FROSSAY,Frossay,44061,44,Loire-Atlantique,3,2023-05-28T12:00:00Z,2023-05-28T14:00:00+02:00,0.8,0.8,True,FR23068_SO2_A
2023-05-28 12:00:00FR23069_SO2_A,01,FR23069_SO2,FR23069,SAVENAY,Savenay,44195,44,Loire-Atlantique,3,2023-05-28T12:00:00Z,2023-05-28T14:00:00+02:00,0.55,0.55,True,FR23069_SO2_A
2023-05-28 12:00:00FR23070_SO2_A,01,FR23070_SO2,FR23070,SAINT ETIENNE DE MONTLUC,Saint-Etienne-De-Montluc,44158,44,Loire-Atlantique,3,2023-05-28T12:00:00Z,2023-05-28T14:00:00+02:00,1.85,1.9,True,FR23070_SO2_A
2023-05-28 12:00:00FR23149_SO2_A,01,FR23149_SO2,FR23149,CUTULLIC2,Paimbœuf,44116,44,Loire-Atlantique,3,2023-05-28T12:00:00Z,2023-05-28T14:00:00+02:00,1.925,1.9,True,FR23149_SO2_A
2023-05-28 12:00:00FR23178_SO2_A,01,FR23178_SO2,FR23178,PARSCAU DU PLESSIS,Donges,44052,44,Loire-Atlantique,3,2023-05-28T12:00:00Z,2023-05-28T14:00:00+02:00,0.0,0.0,True,FR23178_SO2_A
2023-05-28 12:00:00FR23181_SO2_1,01,FR23181_SO2,FR23181,PARC PAYSAGER,Saint-Nazaire,44184,44,Loire-Atlantique,2,2023-05-28T12:00:00Z,2023-05-28T14:00:00+02:00,1.5,1.5,True,FR23181_SO2_1
2023-05-28 12:00:00FR23249_SO2_A,01,FR23249_SO2,FR23249,CAMEE,Montoir-De-Bretagne,44103,44,Loire-Atlantique,3,2023-05-28T12:00:00Z,2023-05-28T14:00:00+02:00,0.0,0.0,True,FR23249_SO2_A
2023-05-28 11:00:00FR23001_SO2_A,01,FR23001_SO2,FR23001,AMPERE,Donges,44052,44,Loire-Atlantique,3,2023-05-28T11:00:00Z,2023-05-28T13:00:00+02:00,1.45,1.5,True,FR23001_SO2_A
2023-05-28 11:00:00FR23003_SO2_A,01,FR23003_SO2,FR23003,LA MEGRETAIS,Donges,44052,44,Loire-Atlantique,3,2023-05-28T11:00:00Z,2023-05-28T13:00:00+02:00,0.475,0.48,True,FR23003_SO2_A
2023-05-28 11:00:00FR23004_SO2_A,01,FR23004_SO2,FR23004,PASTEUR,Donges,44052,44,Loire-Atlantique,3,2023-05-28T11:00:00Z,2023-05-28T13:00:00+02:00,1.025,1.0,True,FR23004_SO2_A
2023-05-28 11:00:00FR23068_SO2_A,01,FR23068_SO2,FR23068,FROSSAY,Frossay,44061,44,Loire-Atlantique,3,2023-05-28T11:00:00Z,2023-05-28T13:00:00+02:00,1.2,1.2,True,FR23068_SO2_A
2023-05-28 11:00:00FR23069_SO2_A,01,FR23069_SO2,FR23069,SAVENAY,Savenay,44195,44,Loire-Atlantique,3,2023-05-28T11:00:00Z,2023-05-28T13:00:00+02:00,0.3,0.3,True,FR23069_SO2_A
2023-05-28 11:00:00FR23070_SO2_A,01,FR23070_SO2,FR23070,SAINT ETIENNE DE MONTLUC,Saint-Etienne-De-Montluc,44158,44,Loire-Atlantique,3,2023-05-28T11:00:00Z,2023-05-28T13:00:00+02:00,1.675,1.7,True,FR23070_SO2_A
2023-05-28 11:00:00FR23149_SO2_A,01,FR23149_SO2,FR23149,CUTULLIC2,Paimbœuf,44116,44,Loire-Atlantique,3,2023-05-28T11:00:00Z,2023-05-28T13:00:00+02:00,1.25,1.3,True,FR23149_SO2_A
2023-05-28 11:00:00FR23178_SO2_A,01,FR23178_SO2,FR23178,PARSCAU DU PLESSIS,Donges,44052,44,Loire-Atlantique,3,2023-05-28T11:00:00Z,2023-05-28T13:00:00+02:00,0.0,0.0,True,FR23178_SO2_A
2023-05-28 11:00:00FR23181_SO2_1,01,FR23181_SO2,FR23181,PARC PAYSAGER,Saint-Nazaire,44184,44,Loire-Atlantique,2,2023-05-28T11:00:00Z,2023-05-28T13:00:00+02:00,1.5,1.5,True,FR23181_SO2_1
2023-05-28 11:00:00FR23249_SO2_A,01,FR23249_SO2,FR23249,CAMEE,Montoir-De-Bretagne,44103,44,Loire-Atlantique,3,2023-05-28T11:00:00Z,2023-05-28T13:00:00+02:00,0.0,0.0,True,FR23249_SO2_A
2023-05-28 10:00:00FR23001_SO2_A,01,FR23001_SO2,FR23001,AMPERE,Donges,44052,44,Loire-Atlantique,3,2023-05-28T10:00:00Z,2023-05-28T12:00:00+02:00,1.65,1.7,True,FR23001_SO2_A
2023-05-28 10:00:00FR23003_SO2_A,01,FR23003_SO2,FR23003,LA MEGRETAIS,Donges,44052,44,Loire-Atlantique,3,2023-05-28T10:00:00Z,2023-05-28T12:00:00+02:00,0.75,0.75,True,FR23003_SO2_A
2023-05-28 10:00:00FR23004_SO2_A,01,FR23004_SO2,FR23004,PASTEUR,Donges,44052,44,Loire-Atlantique,3,2023-05-28T10:00:00Z,2023-05-28T12:00:00+02:00,1.15,1.2,True,FR23004_SO2_A
2023-05-28 10:00:00FR23068_SO2_A,01,FR23068_SO2,FR23068,FROSSAY,Frossay,44061,44,Loire-Atlantique,3,2023-05-28T10:00:00Z,2023-05-28T12:00:00+02:00,1.275,1.3,True,FR23068_SO2_A
2023-05-28 10:00:00FR23069_SO2_A,01,FR23069_SO2,FR23069,SAVENAY,Savenay,44195,44,Loire-Atlantique,3,2023-05-28T10:00:00Z,2023-05-28T12:00:00+02:00,0.55,0.55,True,FR23069_SO2_A
2023-05-28 10:00:00FR23070_SO2_A,01,FR23070_SO2,FR23070,SAINT ETIENNE DE MONTLUC,Saint-Etienne-De-Montluc,44158,44,Loire-Atlantique,3,2023-05-28T10:00:00Z,2023-05-28T12:00:00+02:00,1.65,1.7,True,FR23070_SO2_A
2023-05-28 10:00:00FR23149_SO2_A,01,FR23149_SO2,FR23149,CUTULLIC2,Paimbœuf,44116,44,Loire-Atlantique,3,2023-05-28T10:00:00Z,2023-05-28T12:00:00+02:00,1.225,1.2,True,FR23149_SO2_A
2023-05-28 10:00:00FR23178_SO2_A,01,FR23178_SO2,FR23178,PARSCAU DU PLESSIS,Donges,44052,44,Loire-Atlantique,3,2023-05-28T10:00:00Z,2023-05-28T12:00:00+02:00,0.0,0.0,True,FR23178_SO2_A
2023-05-28 10:00:00FR23181_SO2_1,01,FR23181_SO2,FR23181,PARC PAYSAGER,Saint-Nazaire,44184,44,Loire-Atlantique,2,2023-05-28T10:00:00Z,2023-05-28T12:00:00+02:00,1.35,1.4,True,FR23181_SO2_1
2023-05-28 10:00:00FR23249_SO2_A,01,FR23249_SO2,FR23249,CAMEE,Montoir-De-Bretagne,44103,44,Loire-Atlantique,3,2023-05-28T10:00:00Z,2023-05-28T12:00:00+02:00,0.0,0.0,True,FR23249_SO2_A
2023-05-28 09:00:00FR23001_SO2_A,01,FR23001_SO2,FR23001,AMPERE,Donges,44052,44,Loire-Atlantique,3,2023-05-28T09:00:00Z,2023-05-28T11:00:00+02:00,1.15,1.2,True,FR23001_SO2_A
2023-05-28 09:00:00FR23003_SO2_A,01,FR23003_SO2,FR23003,LA MEGRETAIS,Donges,44052,44,Loire-Atlantique,3,2023-05-28T09:00:00Z,2023-05-28T11:00:00+02:00,0.5,0.5,True,FR23003_SO2_A
2023-05-28 09:00:00FR23004_SO2_A,01,FR23004_SO2,FR23004,PASTEUR,Donges,44052,44,Loire-Atlantique,3,2023-05-28T09:00:00Z,2023-05-28T11:00:00+02:00,1.15,1.2,True,FR23004_SO2_A
2023-05-28 09:00:00FR23068_SO2_A,01,FR23068_SO2,FR23068,FROSSAY,Frossay,44061,44,Loire-Atlantique,3,2023-05-28T09:00:00Z,2023-05-28T11:00:00+02:00,1.675,1.7,True,FR23068_SO2_A
2023-05-28 09:00:00FR23069_SO2_A,01,FR23069_SO2,FR23069,SAVENAY,Savenay,44195,44,Loire-Atlantique,3,2023-05-28T09:00:00Z,2023-05-28T11:00:00+02:00,0.625,0.63,True,FR23069_SO2_A
2023-05-28 09:00:00FR23070_SO2_A,01,FR23070_SO2,FR23070,SAINT ETIENNE DE MONTLUC,Saint-Etienne-De-Montluc,44158,44,Loire-Atlantique,3,2023-05-28T09:00:00Z,2023-05-28T11:00:00+02:00,1.275,1.3,True,FR23070_SO2_A
2023-05-28 09:00:00FR23149_SO2_A,01,FR23149_SO2,FR23149,CUTULLIC2,Paimbœuf,44116,44,Loire-Atlantique,3,2023-05-28T09:00:00Z,2023-05-28T11:00:00+02:00,1.9,1.9,True,FR23149_SO2_A
2023-05-28 09:00:00FR23178_SO2_A,01,FR23178_SO2,FR23178,PARSCAU DU PLESSIS,Donges,44052,44,Loire-Atlantique,3,2023-05-28T09:00:00Z,2023-05-28T11:00:00+02:00,0.0,0.0,True,FR23178_SO2_A
2023-05-28 09:00:00FR23181_SO2_1,01,FR23181_SO2,FR23181,PARC PAYSAGER,Saint-Nazaire,44184,44,Loire-Atlantique,2,2023-05-28T09:00:00Z,2023-05-28T11:00:00+02:00,1.1,1.1,True,FR23181_SO2_1
2023-05-28 09:00:00FR23249_SO2_A,01,FR23249_SO2,FR23249,CAMEE,Montoir-De-Bretagne,44103,44,Loire-Atlantique,3,2023-05-28T09:00:00Z,2023-05-28T11:00:00+02:00,0.0,0.0,True,FR23249_SO2_A
2023-05-28 08:00:00FR23001_SO2_A,01,FR23001_SO2,FR23001,AMPERE,Donges,44052,44,Loire-Atlantique,3,2023-05-28T08:00:00Z,2023-05-28T10:00:00+02:00,1.1,1.1,True,FR23001_SO2_A
2023-05-28 08:00:00FR23003_SO2_A,01,FR23003_SO2,FR23003,LA MEGRETAIS,Donges,44052,44,Loire-Atlantique,3,2023-05-28T08:00:00Z,2023-05-28T10:00:00+02:00,0.425,0.43,True,FR23003_SO2_A
2023-05-28 08:00:00FR23004_SO2_A,01,FR23004_SO2,FR23004,PASTEUR,Donges,44052,44,Loire-Atlantique,3,2023-05-28T08:00:00Z,2023-05-28T10:00:00+02:00,0.85,0.85,True,FR23004_SO2_A
2023-05-28 08:00:00FR23068_SO2_A,01,FR23068_SO2,FR23068,FROSSAY,Frossay,44061,44,Loire-Atlantique,3,2023-05-28T08:00:00Z,2023-05-28T10:00:00+02:00,1.3,1.3,True,FR23068_SO2_A
2023-05-28 08:00:00FR23069_SO2_A,01,FR23069_SO2,FR23069,SAVENAY,Savenay,44195,44,Loire-Atlantique,3,2023-05-28T08:00:00Z,2023-05-28T10:00:00+02:00,1.9,1.9,True,FR23069_SO2_A
2023-05-28 08:00:00FR23070_SO2_A,01,FR23070_SO2,FR23070,SAINT ETIENNE DE MONTLUC,Saint-Etienne-De-Montluc,44158,44,Loire-Atlantique,3,2023-05-28T08:00:00Z,2023-05-28T10:00:00+02:00,1.075,1.1,True,FR23070_SO2_A
2023-05-28 08:00:00FR23149_SO2_A,01,FR23149_SO2,FR23149,CUTULLIC2,Paimbœuf,44116,44,Loire-Atlantique,3,2023-05-28T08:00:00Z,2023-05-28T10:00:00+02:00,1.225,1.2,True,FR23149_SO2_A
2023-05-28 08:00:00FR23178_SO2_A,01,FR23178_SO2,FR23178,PARSCAU DU PLESSIS,Donges,44052,44,Loire-Atlantique,3,2023-05-28T08:00:00Z,2023-05-28T10:00:00+02:00,0.0,0.0,True,FR23178_SO2_A
2023-05-28 08:00:00FR23181_SO2_1,01,FR23181_SO2,FR23181,PARC PAYSAGER,Saint-Nazaire,44184,44,Loire-Atlantique,2,2023-05-28T08:00:00Z,2023-05-28T10:00:00+02:00,0.95,0.95,True,FR23181_SO2_1
2023-05-28 08:00:00FR23249_SO2_A,01,FR23249_SO2,FR23249,CAMEE,Montoir-De-Bretagne,44103,44,Loire-Atlantique,3,2023-05-28T08:00:00Z,2023-05-28T10:00:00+02:00,0.0,0.0,True,FR23249_SO2_A
2023-05-28 07:00:00FR23001_SO2_A,01,FR23001_SO2,FR23001,AMPERE,Donges,44052,44,Loire-Atlantique,3,2023-05-28T07:00:00Z,2023-05-28T09:00:00+02:00,0.625,0.63,True,FR23001_SO2_A
2023-05-28 07:00:00FR23003_SO2_A,01,FR23003_SO2,FR23003,LA MEGRETAIS,Donges,44052,44,Loire-Atlantique,3,2023-05-28T07:00:00Z,2023-05-28T09:00:00+02:00,0.225,0.23,True,FR23003_SO2_A
2023-05-28 07:00:00FR23004_SO2_A,01,FR23004_SO2,FR23004,PASTEUR,Donges,44052,44,Loire-Atlantique,3,2023-05-28T07:00:00Z,2023-05-28T09:00:00+02:00,0.75,0.75,True,FR23004_SO2_A
2023-05-28 07:00:00FR23068_SO2_A,01,FR23068_SO2,FR23068,FROSSAY,Frossay,44061,44,Loire-Atlantique,3,2023-05-28T07:00:00Z,2023-05-28T09:00:00+02:00,1.475,1.5,True,FR23068_SO2_A
2023-05-28 07:00:00FR23069_SO2_A,01,FR23069_SO2,FR23069,SAVENAY,Savenay,44195,44,Loire-Atlantique,3,2023-05-28T07:00:00Z,2023-05-28T09:00:00+02:00,1.775,1.8,True,FR23069_SO2_A
2023-05-28 07:00:00FR23070_SO2_A,01,FR23070_SO2,FR23070,SAINT ETIENNE DE MONTLUC,Saint-Etienne-De-Montluc,44158,44,Loire-Atlantique,3,2023-05-28T07:00:00Z,2023-05-28T09:00:00+02:00,0.45,0.45,True,FR23070_SO2_A
2023-05-28 07:00:00FR23149_SO2_A,01,FR23149_SO2,FR23149,CUTULLIC2,Paimbœuf,44116,44,Loire-Atlantique,3,2023-05-28T07:00:00Z,2023-05-28T09:00:00+02:00,1.3,1.3,True,FR23149_SO2_A
2023-05-28 07:00:00FR23178_SO2_A,01,FR23178_SO2,FR23178,PARSCAU DU PLESSIS,Donges,44052,44,Loire-Atlantique,3,2023-05-28T07:00:00Z,2023-05-28T09:00:00+02:00,0.0,0.0,True,FR23178_SO2_A
2023-05-28 07:00:00FR23181_SO2_1,01,FR23181_SO2,FR23181,PARC PAYSAGER,Saint-Nazaire,44184,44,Loire-Atlantique,2,2023-05-28T07:00:00Z,2023-05-28T09:00:00+02:00,1.0,1.0,True,FR23181_SO2_1
2023-05-28 07:00:00FR23249_SO2_A,01,FR23249_SO2,FR23249,CAMEE,Montoir-De-Bretagne,44103,44,Loire-Atlantique,3,2023-05-28T07:00:00Z,2023-05-28T09:00:00+02:00,0.1,0.1,True,FR23249_SO2_A
2023-05-28 06:00:00FR23001_SO2_A,01,FR23001_SO2,FR23001,AMPERE,Donges,44052,44,Loire-Atlantique,3,2023-05-28T06:00:00Z,2023-05-28T08:00:00+02:00,0.7,0.7,True,FR23001_SO2_A
2023-05-28 06:00:00FR23003_SO2_A,01,FR23003_SO2,FR23003,LA MEGRETAIS,Donges,44052,44,Loire-Atlantique,3,2023-05-28T06:00:00Z,2023-05-28T08:00:00+02:00,0.0,0.0,True,FR23003_SO2_A
2023-05-28 06:00:00FR23004_SO2_A,01,FR23004_SO2,FR23004,PASTEUR,Donges,44052,44,Loire-Atlantique,3,2023-05-28T06:00:00Z,2023-05-28T08:00:00+02:00,0.35,0.35,True,FR23004_SO2_A
2023-05-28 06:00:00FR23068_SO2_A,01,FR23068_SO2,FR23068,FROSSAY,Frossay,44061,44,Loire-Atlantique,3,2023-05-28T06:00:00Z,2023-05-28T08:00:00+02:00,0.775,0.78,True,FR23068_SO2_A
2023-05-28 06:00:00FR23069_SO2_A,01,FR23069_SO2,FR23069,SAVENAY,Savenay,44195,44,Loire-Atlantique,3,2023-05-28T06:00:00Z,2023-05-28T08:00:00+02:00,1.625,1.6,True,FR23069_SO2_A
2023-05-28 06:00:00FR23070_SO2_A,01,FR23070_SO2,FR23070,SAINT ETIENNE DE MONTLUC,Saint-Etienne-De-Montluc,44158,44,Loire-Atlantique,3,2023-05-28T06:00:00Z,2023-05-28T08:00:00+02:00,0.05,0.05,True,FR23070_SO2_A
2023-05-28 06:00:00FR23149_SO2_A,01,FR23149_SO2,FR23149,CUTULLIC2,Paimbœuf,44116,44,Loire-Atlantique,3,2023-05-28T06:00:00Z,2023-05-28T08:00:00+02:00,1.275,1.3,True,FR23149_SO2_A
2023-05-28 06:00:00FR23178_SO2_A,01,FR23178_SO2,FR23178,PARSCAU DU PLESSIS,Donges,44052,44,Loire-Atlantique,3,2023-05-28T06:00:00Z,2023-05-28T08:00:00+02:00,0.0,0.0,True,FR23178_SO2_A
2023-05-28 06:00:00FR23181_SO2_1,01,FR23181_SO2,FR23181,PARC PAYSAGER,Saint-Nazaire,44184,44,Loire-Atlantique,2,2023-05-28T06:00:00Z,2023-05-28T08:00:00+02:00,0.925,0.93,True,FR23181_SO2_1
2023-05-28 06:00:00FR23249_SO2_A,01,FR23249_SO2,FR23249,CAMEE,Montoir-De-Bretagne,44103,44,Loire-Atlantique,3,2023-05-28T06:00:00Z,2023-05-28T08:00:00+02:00,0.0,0.0,True,FR23249_SO2_A
2023-05-28 05:00:00FR23001_SO2_A,01,FR23001_SO2,FR23001,AMPERE,Donges,44052,44,Loire-Atlantique,3,2023-05-28T05:00:00Z,2023-05-28T07:00:00+02:00,0.625,0.63,True,FR23001_SO2_A
2023-05-28 05:00:00FR23003_SO2_A,01,FR23003_SO2,FR23003,LA MEGRETAIS,Donges,44052,44,Loire-Atlantique,3,2023-05-28T05:00:00Z,2023-05-28T07:00:00+02:00,0.0,0.0,True,FR23003_SO2_A
2023-05-28 05:00:00FR23004_SO2_A,01,FR23004_SO2,FR23004,PASTEUR,Donges,44052,44,Loire-Atlantique,3,2023-05-28T05:00:00Z,2023-05-28T07:00:00+02:00,0.6,0.6,True,FR23004_SO2_A
2023-05-28 05:00:00FR23068_SO2_A,01,FR23068_SO2,FR23068,FROSSAY,Frossay,44061,44,Loire-Atlantique,3,2023-05-28T05:00:00Z,2023-05-28T07:00:00+02:00,0.65,0.65,True,FR23068_SO2_A
2023-05-28 05:00:00FR23069_SO2_A,01,FR23069_SO2,FR23069,SAVENAY,Savenay,44195,44,Loire-Atlantique,3,2023-05-28T05:00:00Z,2023-05-28T07:00:00+02:00,1.65,1.7,True,FR23069_SO2_A
2023-05-28 05:00:00FR23070_SO2_A,01,FR23070_SO2,FR23070,SAINT ETIENNE DE MONTLUC,Saint-Etienne-De-Montluc,44158,44,Loire-Atlantique,3,2023-05-28T05:00:00Z,2023-05-28T07:00:00+02:00,0.275,0.28,True,FR23070_SO2_A
2023-05-28 05:00:00FR23149_SO2_A,01,FR23149_SO2,FR23149,CUTULLIC2,Paimbœuf,44116,44,Loire-Atlantique,3,2023-05-28T05:00:00Z,2023-05-28T07:00:00+02:00,1.45,1.5,True,FR23149_SO2_A
2023-05-28 05:00:00FR23178_SO2_A,01,FR23178_SO2,FR23178,PARSCAU DU PLESSIS,Donges,44052,44,Loire-Atlantique,3,2023-05-28T05:00:00Z,2023-05-28T07:00:00+02:00,0.0,0.0,True,FR23178_SO2_A
2023-05-28 05:00:00FR23181_SO2_1,01,FR23181_SO2,FR23181,PARC PAYSAGER,Saint-Nazaire,44184,44,Loire-Atlantique,2,2023-05-28T05:00:00Z,2023-05-28T07:00:00+02:00,0.875,0.88,True,FR23181_SO2_1
2023-05-28 05:00:00FR23249_SO2_A,01,FR23249_SO2,FR23249,CAMEE,Montoir-De-Bretagne,44103,44,Loire-Atlantique,3,2023-05-28T05:00:00Z,2023-05-28T07:00:00+02:00,0.0,0.0,True,FR23249_SO2_A
